"ID","tau","sl","sen"
"157",0.0764727741479874,0.00282919406890869,0.00111111111111111
"158",0.0729474574327469,0.00439846515655518,0.00104166666666668
"159",0.0708689838647842,0.0056607723236084,0.000990990990990994
"160",0.0685965493321419,0.00740706920623779,0.000955882352941178
"161",0.0667824596166611,0.00912594795227051,0.000924855491329481
"162",0.0657948032021523,0.0102158784866333,0.000899999999999999
"163",0.0603593774139881,0.0184597969055176,0.000810126582278482
"164",0.0531424060463905,0.0380234718322754,0.000704225352112686
"165",0.0478551760315895,0.0617409944534302,0.000624999999999999
"166",0.0444853566586971,0.0824623107910156,0.00056140350877193
"167",0.0427365154027939,0.0952634811401367,0.000529411764705882
"168",0.0408132672309875,0.111148118972778,0.000497512437810952
"169",0.0383074693381786,0.13483726978302,0.000468431771894087
"170",0.0364247001707554,0.155093431472778,0.000442477876106201
"171",0.036999300122261,0.1486976146698,0.000445859872611467
"172",0.039322953671217,0.124823689460754,0.000487238979118331
"173",0.0439248532056808,0.086430549621582,0.000545454545454545
"174",0.0520255491137505,0.0422865152359009,0.000603448275862041
"175",0.0621822401881218,0.0152338743209839,0.000638297872340412
"176",1,1,NA
"177",1,1,NA
"178",1,1,NA
"179",1,1,NA
"180",1,1,NA
"181",1,1,NA
"182",1,1,NA
"183",1,1,NA
"184",1,1,NA
"185",1,1,NA
"186",0.090764157474041,0.000395417213439941,0.00113861386138614
"187",0.0868979096412659,0.000693678855895996,0.00111111111111109
"188",0.0827473625540733,0.00123775005340576,0.00107438016528928
"189",0.0816194042563438,0.00144195556640625,0.00107142857142857
"190",0.0836368650197983,0.00109517574310303,0.00108333333333334
"191",1,1,NA
"192",0.1003452911973,8.96453857421875e-05,0.00120754716981131
"193",0.0987695679068565,0.000115394592285156,0.00120300751879699
"194",0.0976015999913216,0.000139117240905762,0.00122137404580153
"195",0.0965378805994987,0.000164151191711426,0.00122923588039866
"196",0.0945570319890976,0.00022280216217041,0.00123655913978495
"197",0.0923970490694046,0.00030982494354248,0.00122222222222224
"198",0.0916169062256813,0.000348091125488281,0.00121621621621622
"199",0.0550729632377625,0.0315303802490234,0.0009126984126984
"200",1,1,NA
"201",1,1,NA
"202",1,1,NA
"203",1,1,NA
"204",1,1,NA
"205",1,1,NA
"206",1,1,NA
"207",1,1,NA
"208",1,1,NA
"209",1,1,NA
"210",0.0431169643998146,0.0922970771789551,0.000735694822888282
"211",0.0471200868487358,0.0658347606658936,0.000733590733590739
"212",0.0553849712014198,0.0306235551834106,0.00075829383886256
"213",0.0599343851208687,0.0193040370941162,0.000797720797720801
"214",0.0589094907045364,0.0214636325836182,0.000794392523364477
"215",0.0580455474555492,0.0234466791152954,0.000797546012269933
"216",0.060620054602623,0.0179558992385864,0.00084444444444445
"217",0.0671256557106972,0.00877773761749268,0.000956521739130436
"218",0.072143018245697,0.00485336780548096,0.00106481481481482
"219",0.0783263668417931,0.00222897529602051,0.00116343490304709
"220",0.078557051718235,0.00216233730316162,0.0011875
"221",0.0789325311779976,0.00205767154693604,0.00121428571428572
"222",0.0798664391040802,0.00181901454925537,0.00123563218390805
"223",0.0811315923929214,0.00153613090515137,0.00124454148471616
"224",0.0795761197805405,0.00189304351806641,0.00119047619047619
"225",0.0769075155258179,0.00267601013183594,0.00114470842332613
"226",0.0742373839020729,0.0037529468536377,0.0011003861003861
"227",0.070758156478405,0.00573718547821045,0.00104166666666667
"228",0.0700379386544228,0.00624752044677734,0.00102941176470587
"229",0.0660849213600159,0.00987875461578369,0.000961538461538475
"230",0.0579432994127274,0.0236847400665283,0.000828402366863909
"231",0.0512731187045574,0.0453300476074219,0.000714285714285699
"232",0.0461960323154926,0.0713297128677368,0.00061576354679803
"233",0.0440195202827454,0.0857231616973877,0.000573065902578795
"234",0.0428014397621155,0.0947637557983398,0.000537261698440206
"235",0.038583479821682,0.132050633430481,0.000475247524752479
"236",0.0361566916108131,0.158145546913147,0.000454545454545472
"237",0.0375759042799473,0.142459630966187,0.00046296296296297
"238",0.0411426164209843,0.108308553695679,0.000510752688172046
"239",0.0470547862350941,0.0662312507629395,0.000583333333333336
"240",0.0556833446025848,0.029752254486084,0.000658682634730536
"241",0.0671397373080254,0.0087817907333374,0.000731707317073174
"242",1,1,NA
"243",1,1,NA
"244",1,1,NA
"245",1,1,NA
"246",1,1,NA
"247",1,1,NA
"248",1,1,NA
"249",1,1,NA
"250",1,1,NA
"251",0.0986445248126984,0.000117778778076172,0.00126436781609196
"252",0.0957399308681488,0.000185847282409668,0.00122262773722628
"253",0.0915464386343956,0.000352144241333008,0.00118686868686869
"254",0.0889626815915108,0.000515341758728027,0.0011578947368421
"255",0.089861623942852,0.000451564788818359,0.00116190476190476
"256",0.0954189375042915,0.00019526481628418,0.00118881118881119
"257",0.102834261953831,5.97238540649414e-05,0.00123966942148759
"258",0.102416053414345,6.38961791992188e-05,0.00126050420168069
"259",0.099402479827404,0.000104188919067383,0.00126732673267327
"260",0.0975473374128342,0.000139832496643066,0.0012820512820513
"261",0.0960809513926506,0.000176072120666504,0.00128514056224898
"262",0.0925129354000092,0.000304341316223145,0.00125654450261781
"263",0.0886880904436111,0.000535368919372559,0.00124260355029584
"264",0.0867386311292648,0.000708818435668945,0.00121621621621621
"265",1,1,NA
"266",1,1,NA
"267",1,1,NA
"268",1,1,NA
"269",1,1,NA
"270",1,1,NA
"271",1,1,NA
"272",1,1,NA
"273",1,1,NA
"274",1,1,NA
"275",1,1,NA
"276",0.0483595840632915,0.0590031147003174,0.000833333333333325
"277",0.0526158288121223,0.0399523973464966,0.00080733944954128
"278",0.0588191114366055,0.0216646194458008,0.000830039525691703
"279",0.0606937110424042,0.0178176164627075,0.000833333333333331
"280",0.0574148632586002,0.0249930620193481,0.000828025477707011
"281",0.0559291876852512,0.0290017127990723,0.000808314087759818
"282",0.0594181194901466,0.0203543901443481,0.000868055555555556
"283",0.0661675110459328,0.00978767871856689,0.000984848484848477
"284",0.0736650228500366,0.00402748584747314,0.00111111111111111
"285",0.0787929370999336,0.00209522247314453,0.00121794871794871
"286",0.0804707407951355,0.00167787075042725,0.00127236580516899
"287",0.0807009488344193,0.001625657081604,0.00130511463844798
"288",0.0833812952041626,0.00113153457641602,0.00135957066189624
"289",0.0854384675621986,0.00084984302520752,0.00137767220902613
"290",0.0846634730696678,0.000947833061218262,0.00133333333333334
"291",0.0821193680167198,0.00134539604187012,0.00128342245989304
"292",0.0779287591576576,0.00234436988830566,0.00124620060790274
"293",0.0759827122092247,0.00301015377044678,0.00118993135011442
"294",0.0745278373360634,0.0036163330078125,0.00114754098360656
"295",0.0701266229152679,0.0061870813369751,0.00105555555555556
"296",0.0635434538125992,0.0131098031997681,0.000947775628626689
"297",0.0559437684714794,0.0289523601531982,0.000807799442896934
"298",0.0503444597125053,0.0493676662445068,0.000697050938337806
"299",0.0489540472626686,0.0559972524642944,0.000654761904761901
"300",0.0456838645040989,0.0745292901992798,0.000595041322314049
"301",0.041685089468956,0.103692889213562,0.000530303030303032
"302",0.0401009581983089,0.117514729499817,0.000494296577946771
"303",0.0433322079479694,0.0907446146011353,0.000532915360501573
"304",0.0486757047474384,0.0574172735214233,0.000606060606060607
"305",0.0551817044615746,0.0312255620956421,0.000693641618497116
"306",0.0639001056551933,0.0126168727874756,0.000797101449275358
"307",0.0773048773407936,0.00254714488983154,0.000909090909090911
"308",0.0921725258231163,0.000321030616760254,0.00105263157894737
"309",1,1,NA
"310",1,1,NA
"311",1,1,NA
"312",1,1,NA
"313",1,1,NA
"314",1,1,NA
"315",1,1,NA
"316",1,1,NA
"317",0.106406167149544,3.26633453369141e-05,0.00136363636363637
"318",0.102965265512466,5.8293342590332e-05,0.00133333333333333
"319",0.100007578730583,9.44137573242188e-05,0.00129464285714285
"320",0.0981555804610252,0.000127315521240234,0.00125786163522012
"321",0.0994940549135208,0.000102758407592773,0.00124378109452736
"322",0.103469125926495,5.36441802978516e-05,0.00128125
"323",0.10477389395237,4.31537628173828e-05,0.0013063063063063
"324",0.102554969489574,6.24656677246094e-05,0.00132653061224491
"325",0.100127398967743,9.27448272705078e-05,0.00133501259445844
"326",0.0992249473929405,0.000107169151306152,0.00135416666666667
"327",0.0967208445072174,0.000159382820129395,0.00134185303514376
"328",0.093338631093502,0.000268816947937012,0.00131410256410256
"329",0.0902001932263374,0.000429272651672363,0.00129770992366414
"330",0.0868716686964035,0.000694632530212402,0.00126984126984127
"331",1,1,NA
"332",1,1,NA
"333",1,1,NA
"334",1,1,NA
"335",1,1,NA
"336",1,1,NA
"337",1,1,NA
"338",1,1,NA
"339",1,1,NA
"340",1,1,NA
"341",0.0588857680559158,0.0214924812316895,0.00106060606060605
"342",0.0592896938323975,0.0206201076507568,0.000988142292490119
"343",0.0627037808299065,0.014366626739502,0.000921305182341652
"344",0.0651524439454079,0.0109738111495972,0.000925925925925926
